Rank (by extent),Protected Area NAME,Country,x.1,Country full,geographic_location,UN Geoscheme,Extent_km2,Extent,Extent.ha,YEAR,country.code,Reference,note,comment
,,,,,,,,sqmi,,designated,ISO_UN,,,
1,Marae Moana ,Cook Islands,,Cook Islands,Cook Islands ,Polynesia,1976000,762933.6,197600000,2017,CK   184,Protected Planet|WDPA,,
2,Ross Sea Region Marine Protected Area ,Antarctica ,,Antarctica,Ross Sea ,omitted,1550000,598455,155000000,2017,,WDPA,,
3,Papahānaumokuākea Marine National Monument , United States,,United States of America,Hawaii and Midway Atoll ,Northern america,1508846,582565.4406,150884600,2006,US   840,Protected Planet,,
4,Natural Park of the Coral Sea , France ,,France,New Caledonia ,Western Europe,1292967 (updated),499214.5587,129296700,2014,FR   250,WCMC,,
5,Pacific Remote Islands Marine National Monument ,United States ,,United States of america,Central Pacific Ocean ,Northern America,1270480,490532.328,127048000,2009,US   840,WCMC|WDPA|Protected Planet,,
6,South Georgia Marine Protected Area , United Kingdom ,,United Kingdom,South Georgia and the South Sandwich Islands ,Northern Europe,1240000,478764,124000000,2012,GB   826,Local Govt,,
7,Coral Sea Marine Park , Australia ,,Australia,Coral Sea ,Oceania,989836,382175.6796,98983600,2018,AU   036,WCMC|Local Govt,,
8,Protection zone around the French Southern Territories National Nature Reserve ,FRANCE,,FRANCE,French Southern and Antarctic Lands ,western Europe,989787,382156.7607,“98978700”,2017,FR   250,Protected Planet,,
9,Northeast Greenland National Park , Greenland ,,Greenland,Northeast Greenland ,northern America,972000,"375289,2",97200000,1974,GL   304,WDPA|Local Govt,,
10,Steller Sea Lion Protection Areas , United States ,,United States of America,Alaska ,northern america,869206,335600.4366,86920600,2002,US   840,WDPA|Protected Planet|Local Govt,,
11,Pitcairn Islands Marine Reserve , United Kingdom ,,UNITED Kingdom,Pitcairn Islands ,Northern Europe,834334km2,322136.3574,83433400,2016,GB   826,WCMC,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
